,precision,recall,f1-score,support
Scarlett Johansson,0.9411764705882353,1.0,0.9696969696969697,64.0
Megan Fox,1.0,1.0,1.0,43.0
Natalie Portman,0.9761904761904762,0.9534883720930233,0.9647058823529412,43.0
Jennifer Lawrence,1.0,0.9523809523809523,0.975609756097561,42.0
Denzel Washington,1.0,1.0,1.0,42.0
Hugh Jackman,1.0,1.0,1.0,41.0
Tom Hanks,1.0,1.0,1.0,41.0
Kate Winslet,1.0,0.975609756097561,0.9876543209876543,41.0
Leonardo DiCaprio,1.0,1.0,1.0,42.0
Angelina Jolie,0.9534883720930233,1.0,0.9761904761904763,41.0
Will Smith,1.0,0.975,0.9873417721518987,40.0
Brad Pitt,0.975,1.0,0.9873417721518987,39.0
Sandra Bullock,1.0,0.9487179487179487,0.9736842105263158,39.0
Tom Cruise,1.0,1.0,1.0,39.0
accuracy,0.9865996649916248,0.9865996649916248,0.9865996649916248,0.9865996649916248
macro avg,0.9889896656336953,0.9860855020921061,0.9873017971539797,597.0
weighted avg,0.9871516044382772,0.9865996649916248,0.9866162305740533,597.0
