,precision,recall,f1-score,support
Scarlett Johansson,0.9242424242424242,0.953125,0.9384615384615383,64.0
Megan Fox,0.9555555555555556,1.0,0.9772727272727273,43.0
Natalie Portman,1.0,0.813953488372093,0.8974358974358974,43.0
Jennifer Lawrence,0.8936170212765957,1.0,0.9438202247191011,42.0
Denzel Washington,0.9318181818181818,0.9761904761904762,0.9534883720930233,42.0
Hugh Jackman,0.9534883720930233,1.0,0.9761904761904763,41.0
Tom Hanks,1.0,0.9024390243902439,0.9487179487179488,41.0
Kate Winslet,0.975,0.9512195121951219,0.9629629629629629,41.0
Leonardo DiCaprio,1.0,1.0,1.0,42.0
Angelina Jolie,0.9090909090909091,0.975609756097561,0.9411764705882352,41.0
Will Smith,0.9487179487179487,0.925,0.9367088607594937,40.0
Brad Pitt,0.975,1.0,0.9873417721518987,39.0
Sandra Bullock,0.9722222222222222,0.8974358974358975,0.9333333333333333,39.0
Tom Cruise,0.9743589743589743,0.9743589743589743,0.9743589743589743,39.0
accuracy,0.9547738693467337,0.9547738693467337,0.9547738693467337,0.9547738693467337
macro avg,0.9580794006697024,0.954952294931455,0.9550906827889722,597.0
weighted avg,0.9566831117492639,0.9547738693467337,0.9543159399183699,597.0
