,precision,recall,f1-score,support
Scarlett Johansson,0.9393939393939394,0.96875,0.9538461538461539,64.0
Megan Fox,0.9772727272727273,1.0,0.9885057471264368,43.0
Natalie Portman,1.0,0.8837209302325582,0.9382716049382717,43.0
Jennifer Lawrence,0.8936170212765957,1.0,0.9438202247191011,42.0
Denzel Washington,0.9767441860465116,1.0,0.988235294117647,42.0
Hugh Jackman,1.0,0.975609756097561,0.9876543209876543,41.0
Tom Hanks,1.0,0.926829268292683,0.9620253164556963,41.0
Kate Winslet,0.9743589743589743,0.926829268292683,0.9500000000000001,41.0
Leonardo DiCaprio,1.0,1.0,1.0,42.0
Angelina Jolie,0.9285714285714286,0.9512195121951219,0.9397590361445782,41.0
Will Smith,0.975,0.975,0.975,40.0
Brad Pitt,1.0,1.0,1.0,39.0
Sandra Bullock,0.9473684210526315,0.9230769230769231,0.935064935064935,39.0
Tom Cruise,0.9512195121951219,1.0,0.975,39.0
accuracy,0.966499162479062,0.966499162479062,0.966499162479062,0.966499162479062
macro avg,0.9688247292977094,0.966502547013395,0.9669416166714624,597.0
weighted avg,0.9677792060608356,0.966499162479062,0.96642115554559,597.0
