,precision,recall,f1-score,support
Scarlett Johansson,0.9552238805970149,1.0,0.9770992366412213,64.0
Megan Fox,1.0,0.9767441860465116,0.988235294117647,43.0
Natalie Portman,0.9761904761904762,0.9534883720930233,0.9647058823529412,43.0
Jennifer Lawrence,1.0,1.0,1.0,42.0
Denzel Washington,0.9333333333333333,1.0,0.9655172413793104,42.0
Hugh Jackman,0.9534883720930233,1.0,0.9761904761904763,41.0
Tom Hanks,1.0,0.9512195121951219,0.975,41.0
Kate Winslet,0.9761904761904762,1.0,0.9879518072289156,41.0
Leonardo DiCaprio,0.9767441860465116,1.0,0.988235294117647,42.0
Angelina Jolie,1.0,0.975609756097561,0.9876543209876543,41.0
Will Smith,0.9736842105263158,0.925,0.9487179487179489,40.0
Brad Pitt,1.0,1.0,1.0,39.0
Sandra Bullock,0.9736842105263158,0.9487179487179487,0.9610389610389611,39.0
Tom Cruise,1.0,0.9487179487179487,0.9736842105263158,39.0
accuracy,0.9782244556113903,0.9782244556113903,0.9782244556113903,0.9782244556113903
macro avg,0.9798956532502476,0.9771069802762941,0.9781450480927883,597.0
weighted avg,0.9788470017747996,0.9782244556113903,0.9781742221852568,597.0
