,precision,recall,f1-score,support
Scarlett Johansson,0.8153846153846154,0.828125,0.8217054263565892,64.0
Megan Fox,0.8541666666666666,0.9534883720930233,0.9010989010989011,43.0
Natalie Portman,0.7045454545454546,0.7209302325581395,0.7126436781609196,43.0
Jennifer Lawrence,0.7631578947368421,0.6904761904761905,0.725,42.0
Denzel Washington,0.8571428571428571,1.0,0.923076923076923,42.0
Hugh Jackman,0.782608695652174,0.8780487804878049,0.8275862068965518,41.0
Tom Hanks,0.9459459459459459,0.8536585365853658,0.8974358974358975,41.0
Kate Winslet,0.7111111111111111,0.7804878048780488,0.7441860465116279,41.0
Leonardo DiCaprio,0.813953488372093,0.8333333333333334,0.8235294117647058,42.0
Angelina Jolie,0.8333333333333334,0.7317073170731707,0.7792207792207793,41.0
Will Smith,0.9,0.9,0.9,40.0
Brad Pitt,0.9393939393939394,0.7948717948717948,0.8611111111111112,39.0
Sandra Bullock,0.8611111111111112,0.7948717948717948,0.8266666666666667,39.0
Tom Cruise,0.8648648648648649,0.8205128205128205,0.8421052631578947,39.0
accuracy,0.8274706867671692,0.8274706867671692,0.8274706867671692,0.8274706867671692
macro avg,0.8319085698757863,0.8271794269815349,0.8275261651041834,597.0
weighted avg,0.8301345124195707,0.8274706867671692,0.8268652746859174,597.0
